origin,origin_region
1137465VD_ITR,MW
UFL4,SE
ITR_NEW_MEXICO,SW
ZORES_TOWING_KITLEY_AVE_INDY,MW
JB_HUNT_PALMETTO,SE
TEB3,NE
DMI9,SE
18205 GRACE DRIVE,MW
JB_HUNT_FORT_WORTH,TX
HJBI MENDENHALL RD,SE
BNSF-FAIRBURN,SE
VMA2,NE
BNSF-MEMPHIS,SE
SAN5,SW
BNA4,SE
RDU2,SE
CONPEARL,SE
YVR3,
KOHL_S_P_95363_741,SW
XBN3_DUMMY,SE
DXX1,
MGE9,SE
DJZ8,NE
OUTSIDE-CSX-SPRINGFIELD-RAMP,NE
SMITH-TRANSPORT-STORAGE,NE
SVA2,NE
SCK8,SW
YUL9,
111C4L3PV_ITR,NW
XLX1,NE
NORAM_NE_41048_924,MW
QKY3,MW
VAZ1,SW
PCNA_CAR_17013_7457_599,NE
V504771_RTP,NE
SCJ_RDC__17013_717,NE
MKE1,MW
VDC1,NE
ONT5,SW
VUDW,SE
BOS4,NE
KLAS,SW
DTO5,
KLAX,SW
WESTROCK_76106_0900_595,TX
DLI8,MW
AVP3,NE
MAC9,SW
CSXT-NORTH BERGEN,NE
HGA6,SE
PDX9,NW
RIC1,NE
STX8,TX
PIN1,MW
HOU7,TX
HDA3,TX
HMW4,MW
XSL1,SW
DOK6,TX
JB_HUNT_KY,MW
DSR4,SW
JB_HUNT_MEMPHIS,SE
SDC1,NE
ORD9,MW
CSXT-JACKSONVILLE,SE
QXX1,NE
HIO2,NW
COS5,NW
DTW8,MW
DGR8,MW
112VD8WTK_ITR,MW
YYC5,
16869-16881_VIA_DEL_CAMPO,SW
UIL2,MW
HDA8,TX
JB_HUNT_CHAMBERSBURG,NE
LEX2,MW
LAS9,SW
GMCR7,NE
IPG___CO_92878_5013_118,SW
115HDRL2Z_ITR,TX
111NVDNQM_ITR,SW
MGE8,SE
FAT1,SW
ATL7,SE
MSP9,MW
DYN5,NE
DLA8,SW
DET3,MW
AFW2,TX
DVA3,NE
ILG2,NE
REHRIG TX,TX
DSF5,SW
DTU3,SW
KMIA,SE
112FQ1XBT_ITR,SE
QZZ1,SE
TUS1,SW
EWR8,NE
BNSF-ALLIANCE,TX
DSW5,NW
HODGES_TOWING_KEWANEE_IL,MW
,NE
LGA5,NE
SFL8,SE
KUEHNE NAGEL,SE
ORBIS_TEMP_LA,SW
KSFO,SW
DIL3,MW
DPH7,NE
XNJ3,NE
CVG9,MW
KBDL,NE
YVR2,
TYS5,SE
DCA6,NE
ACY9,NE
QBM3,SE
CMH3,MW
AACT-MRK,MW
MIT2,SW
FWA6,MW
OAK3,SW
HCH1,MW
MEM5,SE
DEN2,NW
ICT2,MW
WBW2-OSY1-NODE,NE
LEFY9_2340,TX
SS_JACKSON,SE
SMF7,SW
DIN4,MW
JESSCO INC.,TX
POC2,SW
SCA5,SW
FTW7,TX
VINMAX_I_07206_2129_124,NE
ITR_1167RMRDM,MW
XMD3,NE
QBY8,SE
QFL3,SE
QIW2,MW
UPRR-CHICAGO-GLOBAL-IV,MW
HBA2,NE
JFK8-OSY2-NODE,NE
BNSF-STPAUL,MW
KTS2,NE
UVA4,NE
RIC4,NE
AMA1,TX
OKC5,TX
RUFFO,SW
DJZ6,NE
113KPDYB7_ITR,NW
SAX5,SW
PAE2,NW
BNSF-LOSANGELES-CE,SW
SNJ2,NE
HBN1,SE
21100 W NOEL RD,MW
SWA_US_SONGMICS,SW
MCI7,MW
ONT9,SW
KOHL_S_G_64029_448,MW
IUTD,SW
OUTSIDE-CSXT-NORTH KEARNY,NE
KRIV,SW
SNY1,NE
LUK2,MW
SMI1,MW
MIA5,SE
BNSF-COMMERCE-TOT,SW
QZN1,SW
JB_HUNT_SOUTHGATE,SW
UWI1,MW
SNL1,SE
PACTIV_T_76501_224,TX
SJC7,SW
116BP4J1P_ITR,SW
WSD1,MW
T_S_INTERMODAL_MAINTENANCE,SW
MEM40,SE
CSXT-SPRINGFIELD,NE
DFW7-DRAY,TX
CSXT-SYRACUSE,NE
QOH2,MW
USF2,SW
DTN8,SE
PHL4,NE
FORT WORTH,TX
PIL1,SE
WMO2,MW
BNSF-CICERO,MW
BALTEK_I_27235_615,SE
CSXT-FAIRBURN-CS,SE
RDFS RIV,SW
SHUERT,MW
EWR9,NE
DTG5,SE
DXT6,
RHP_FFP__92394_351,SW
UTX4,TX
BFI7,NW
HOU6,TX
UTN1,SE
HUBG_HACKENSACK_YARD,NE
WESTROCK_01510_588,NE
75 COUNTY RD,NE
AUS3,TX
LIT1,TX
BFI6,NW
HSE1,NE
HEU1,NW
MAQ9,SW
JB_HUNT_HASLET_TX,TX
GQ-HJBI,SE
BNSF-STPAUL-CS,MW
DCB4,NE
DSD1,SW
DJE2,NE
STL8,MW
FTW6-DRAY,TX
XUSO,SW
MAE3,MW
GEU5,SW
FTW9,TX
EWR4-DRAY,NE
MTN2,NE
DIN8,MW
SCK9,SW
PDX8,NW
PHL7-DRAY,NE
SFL6,SE
MAB7,NW
OUTSIDE ATL2,SE
DOR2,NE
DXKY,SW
SWA2,NW
FAT2,SW
AGS3,SE
TCY1,SW
US_NPPC__181049308_272_OSY,NE
112T6PZKK_ITR,SW
MKE6,MW
